N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
530,Bereshit Beraka El Comienzo De La Bendicion,Callao,Callao,Ventanilla,género
531,Betty Linares Fundacion,Arequipa,Arequipa,Socabaya,género
532,Bienestar Global,Puno,Puno,Puno,educación / género / salud
533,Biosfera-Sos,Ucayali,Ucayali,Yarinacocha,agropecuario / ambiente
534,Buckner Orphan Care Peru,Lima,Lima,Miraflores,educación / vivienda y saneamiento
535,Buenos Aires En La Recuperacion De Playas Y Obras Sociales,La Libertad,La Libertad,Victor Larco Herrera,género
536,Camara De Comercio De Huancayo,Junin,Junin,Huancayo,educación / género
537,Camara De Comercio Y Produccion De Lambayeque,Lambayeque,Lambayeque,Chiclayo,producción
538,Camara Nacional Forestal,Lima,Lima,Jesus Maria,género / trabajo
539,Camara Peruana De Comercio Exterior,Lima,Lima,San Isidro,educación
540,Camara Peruana Del Cafe Y Cacao,Lima,Lima,Miraflores,agropecuario
541,Cambio Climatico Y Medio Ambiente,Lima,Lima,Carabayllo,ambiente
542,Caminando Hacia Ti,La Libertad,La Libertad,Trujillo,educación / género / salud
543,Camino De La Esperanza,Lima,Lima,Comas,género
544,Canto Vivo,Lima,Lima,Jesus Maria,gobernabilidad
545,Capirona - Investigacion Y Desarrollo,San Martin,San Martin,Tarapoto,agropecuario
546,Capital Humano Y Social Alternativo,Lima,Lima,Miraflores,agropecuario / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / justicia / trabajo
547,Care Peru,Lima,Lima,San Isidro,educación / género / salud
548,Caritas Abancay,Apurimac,Apurimac,Abancay,agropecuario / ambiente / educación / género / inclusión social / justicia / salud
549,Caritas Arquidiocesana De Huancayo,Junin,Junin,Huancayo,agropecuario / ambiente / educación / inclusión social / salud
550,Caritas Arquidiocesana Del Cusco,Cusco,Cusco,Cusco,salud
551,Caritas Atalaya,Ucayali,Ucayali,Raymondi,género
552,Caritas Ayacucho,Ayacucho,Ayacucho,Ayacucho,comercio y turismo
553,Caritas Caraveli,Ica,Ica,Vista Alegre,ambiente / inclusión social / justicia
554,Caritas Chiclayo,Lambayeque,Lambayeque,Pimentel,agropecuario / inclusión social
555,Caritas Chota,Cajamarca,Cajamarca,Chota,género
556,Caritas De Huaraz,Ancash,Ancash,Independencia,género
557,Caritas Del Peru,Callao,Callao,Callao,agropecuario / ambiente / inclusión social / salud
558,Caritas Diocesana De Arequipa,Arequipa,Arequipa,Arequipa,educación / género / gobernabilidad / inclusión social / salud
559,Caritas Diocesana De Huancavelica,Huancavelica,Huancavelica,Huancavelica,agropecuario
560,Caritas Diocesana De Iquitos,Loreto,Loreto,Iquitos,género / inclusión social
561,Caritas Huanuco,Huanuco,Huanuco,Huanuco,gobernabilidad / vivienda y saneamiento
562,Caritas Huari,Ancash,Ancash,Huari,educación / género / inclusión social / salud
563,Caritas Ica,Ica,Ica,Ica,ambiente / justicia
564,Caritas Jaen,Cajamarca,Cajamarca,Jaen,género / salud / trabajo
565,Caritas Madre De Dios,Madre De Dios,Madre De Dios,Tambopata,educación
566,Caritas San Jose Del Amazonas,Loreto,Loreto,Punchana,agropecuario / género / inclusión social
567,Caritas Selva Central,Junin,Junin,Satipo,género
568,Caritas Yurimaguas,Loreto,Loreto,Yurimaguas,agropecuario / economía / educación / género / gobernabilidad / inclusión social / salud / trabajo
569,Casa Del Aguila,Cusco,Cusco,Limatambo,educación / salud
570,Casa Hogar Angel Gabriel S.I.T.,Piura,Piura,Castilla,género
571,Casa Hogar Luz De Vida,La Libertad,La Libertad,Trujillo,género
572,Catolicas Por El Derecho A Decidir-Peru,Lima,Lima,Lima,justicia / salud
573,Center For Development,Lima,Lima,Santiago De Surco,ambiente / género
574,Center For Research In Environmental Health - Centro Para La Investigacion En Salud Ambiental - Creeh Peru,Lima,Lima,Jesus Maria,salud
575,Central Ashaninka Del Rio Ene,Junin,Junin,Satipo,ambiente / inclusión social / justicia
576,Central De Organizaciones Productoras De Cafe Y Cacao Del Peru - Cafe Peru,Lima,Lima,Lima,agropecuario
577,Central Peruana De Servicios,Lima,Lima,Miraflores,agropecuario / ambiente / género / gobernabilidad / producción / trabajo
578,Centro Alternativo De Accion Para El Desarrollo Sostenible De La Libertad,La Libertad,La Libertad,Trujillo,agropecuario / ciencia y tecnología / economía / educación / género / inclusión social / salud / trabajo
579,Centro Alternativo Para El Desarrollo Social,Lima,Lima,Huacho,educación / salud
580,Centro Amazonico De Antropologia Y Aplicacion Practica,Lima,Lima,Magdalena Del Mar,educación / género / gobernabilidad / justicia
581,Centro Andino De Desarrollo Empresarial Y Social (Centro Andes),Lima,Lima,La Molina,ambiente / género
582,Centro Andino De Educacion Y Promocion Jose Maria Arguedas,Cusco,Cusco,Cusco,ambiente / género
583,Centro Ann Sullivan Del Peru,Lima,Lima,San Miguel,educación / género / salud
584,Centro Asistencial Integral Arequipa,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,cultura / vivienda y saneamiento
585,Centro Capacitacion Agraria De La Nacion Andina,Ayacucho,Ayacucho,Huanta,agropecuario / ambiente / género / vivienda y saneamiento
586,Centro Cristiano De Educacion Y Desarrollo Social (C.E.D.S),La Libertad,La Libertad,Trujillo,género
587,Centro Cultural Nosotros,Lima,Lima,Jesus Maria,educación / género
588,Centro Cultural Peru - Sican,Loreto,Loreto,Iquitos,educación / género
589,Centro De  Estudios Desarrollo Solidaridad Y Democracia,Lima,Lima,Santiago De Surco,educación / género
590,Centro De Accion Social Tecnica Y De Capacitacion,Ancash,Ancash,Independencia,educación / género
591,Centro De Alto Rendimiento Deportivo Pedro Sandoval Boudri,Lima,Lima,Lince,educación
592,Centro De Apoyo A Niños/As Adolescentes Trabajadores,Piura,Piura,Piura,género / salud
593,Centro De Apoyo Al Desarrollo Agro-Socio Economico,La Libertad,La Libertad,Trujillo,agropecuario
594,Centro De Apoyo Al Desarrollo Humano Y Mitigacion De La Pobreza En Peru,Lima,Lima,Ate,inclusión social
595,"Centro De Apoyo Armonizacion Salud Y Cultura ""Splendor"" Casa Hogar Para La Tercera Edad",Lima,Lima,Los Olivos,salud
596,Centro De Apoyo Capacitacion Y Asistencia Para El Peru,Piura,Piura,Piura,inclusión social / salud
597,Centro De Apoyo E Investigacion Para El Desarrollo Campesino,Puno,Puno,Puno,agropecuario / ciencia y tecnología / economía / educación / género / gobernabilidad
598,Centro De Apoyo Rural,Junin,Junin,Huancayo,agropecuario
599,"Centro De Apoyo Y Desarrollo Empresarial ""Ceade""",Junin,Junin,Huancayo,educación / género
600,"Centro De Asesoria, Investigacion Y Promocion Humana",Callao,Callao,Ventanilla,educación
601,Centro De Atencion Psicosocial - Caps,Lima,Lima,Jesus Maria,ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / salud
602,Centro De Atencion Residencial Infantil Shaya,Lambayeque,Lambayeque,Saña,género
603,Centro De Atencion Y Educacion A La Familia - Caef,La Libertad,La Libertad,Moche,género
604,Centro De Atencion Y Promocion Social,Junin,Junin,El Tambo,inclusión social
605,"Centro De Biodiversidad Y Desarrollo Agrario La Molina ""Bida""",Lima,Lima,Ate,agropecuario
606,Centro De Capacitacion Campesina De Puno,Puno,Puno,Puno,agropecuario / ambiente / gobernabilidad / producción
607,Centro De Capacitacion En Oficios Para La Mujer,San Martin,San Martin,Morales,género
608,Centro De Capacitacion Evangelico Jesus El Maestro,Lambayeque,Lambayeque,Chiclayo,educación
609,Centro De Capacitacion J.M. Arguedianos,Junin,Junin,El Tambo,educación
610,Centro De Capacitacion Y Asesoria Microempresarial Arariwa Ayni,Cusco,Cusco,Wanchaq,ambiente / educación / género / transportes y comunicaciones
611,Centro De Capacitacion Y Desarrollo Social Peruano,Lima,Lima,Carabayllo,agropecuario / género / vivienda y saneamiento
612,Centro De Competencias Del Agua,Lima,Lima,San Miguel,agropecuario / ambiente / ciencia y tecnología / producción
613,Centro De Comunicacion Amakella,Arequipa,Arequipa,Arequipa,género / transportes y comunicaciones
614,Centro De Comunicacion E Investigacion Aplicada Mujer Y Sociedad,Lima,Lima,Miraflores,educación / género / producción
615,"Centro De Conservacion, Investigacion Y Manejo De Areas Naturales - Cordillera Azul",Lima,Lima,Miraflores,ambiente
616,Centro De Desarrollo Agropecuario,Ayacucho,Ayacucho,Ayacucho,agropecuario / género
617,Centro De Desarrollo Ambiental Y Social,Puno,Puno,Puno,ambiente
618,Centro De Desarrollo De Capacidades Institucionales Y Productivas,Cajamarca,Cajamarca,Santa Cruz,agropecuario / ambiente / gobernabilidad / inclusión social / producción
619,Centro De Desarrollo E Investigacion De La Selva Alta,San Martin,San Martin,Tarapoto,ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / producción / salud
620,Centro De Desarrollo Etnico Cedet,Lima,Lima,Breña,cultura / género / gobernabilidad / justicia
621,Centro De Desarrollo Integral De Comunidades,Junin,Junin,El Tambo,inclusión social
622,Centro De Desarrollo Integral Para La Familia,Cusco,Cusco,Cusco,género
623,Centro De Desarrollo Manos Solidarias,Huancavelica,Huancavelica,Huancavelica,ambiente / educación / género
624,"Centro De Desarrollo Rural Integral ""El Nazareno""",Piura,Piura,Chulucanas,ambiente / justicia
625,Centro De Desarrollo Rural Y Urbano Marginal (Cedrum),Lima,Lima,Huacho,agropecuario / ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / trabajo
626,Centro De Desarrollo Social Kuska Wiñasun - Kuska Ong,Junin,Junin,El Tambo,inclusión social / justicia
627,Centro De Desarrollo Tecnico Productivo Cedetep,Lima,Lima,Villa Maria Del Triunfo,agropecuario / gobernabilidad / producción
628,Centro De Desarrollo Y Asesoria Psicosocial,Lima,Lima,Miraflores,educación / salud
629,Centro De Desarrollo Y Capacitacion Para El Progreso,Lima,Lima,Miraflores,agropecuario / ambiente
630,Centro De Desarrollo Y Democracia,Lima,Lima,Chaclacayo,vivienda y saneamiento
631,Centro De Ecologia Y Genero - Eco,Lambayeque,Lambayeque,Chiclayo,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad / inclusión social / producción / salud / trabajo
632,Centro De Educacion Y Comunicacion Guaman Poma De Ayala,Cusco,Cusco,Wanchaq,educación / justicia / salud
633,"Centro De Educacion, Ecologia, Asesoria Y Servicios Forjando Progreso Y Desarrollo",Lima,Lima,Comas,ambiente / género
634,Centro De Emprendimiento E Innovacion Para El Desarrollo Economico Y Social Peru,La Libertad,La Libertad,Trujillo,educación / género
635,Centro De Energia Renovable Y Proteccion Del Medio Ambiente,Junin,Junin,El Tambo,agropecuario / ambiente
636,"Centro De Estudio, Asesoria Y Promocion Para El Desarrollo Andino Mi Pueblo",Tacna,Tacna,Tacna,agropecuario / ciencia y tecnología / economía / educación / género / gobernabilidad / producción / trabajo
637,Centro De Estudios Arqueologicos Precolombinos,Ica,Ica,Nazca,agropecuario / comercio y turismo / cultura / educación
638,Centro De Estudios Cristianos Y Capacitacion Popular,Arequipa,Arequipa,Arequipa,inclusión social / producción
639,"Centro De Estudios De Prevencion, Tratamiento, Investigacion Y De Salud",Lima,Lima,Santiago De Surco,género / salud
640,Centro De Estudios De Problemas Economicos Y Sociales De La Juventud,Lima,Lima,Lince,educación / género / gobernabilidad / salud
641,Centro De Estudios Economico Sociales Y Medio Ambiente,La Libertad,La Libertad,Trujillo,agropecuario / género / salud / vivienda y saneamiento
642,Centro De Estudios Para El Desarrollo Regional,Arequipa,Arequipa,Arequipa,agropecuario / salud
643,Centro De Estudios Para El Desarrollo Y La Participacion,Lima,Lima,Magdalena Del Mar,agropecuario / ambiente / justicia / trabajo
644,Centro De Estudios Para La Edificacion Con Tierra Y El Desarrollo Sostenible,Lima,Lima,Santiago De Surco,agropecuario / ciencia y tecnología / educación / salud / vivienda y saneamiento
645,Centro De Estudios Para La Prevencion Y Correccion De Enfermedades Abdominales,Lima,Lima,Santiago De Surco,género / salud
646,Centro De Estudios Para Proyectos De Desarrollo Y Del Medio  Ambiente,Huanuco,Huanuco,Huanuco,ambiente / ciencia y tecnología / economía / educación / gobernabilidad / salud
647,Centro De Estudios Regionales Andinos Bartolome De Las Casas,Cusco,Cusco,Cusco,educación
648,Centro De Estudios Sociales Solidaridad,Lambayeque,Lambayeque,Chiclayo,educación / género / producción / salud
649,Centro De Estudios Sociales Y Publicaciones,Lima,Lima,Jesus Maria,ambiente / género / justicia
650,Centro De Estudios Y Desarrollo Economico Para Los Pueblos,Puno,Puno,Juliaca,agropecuario / ambiente / producción / salud
651,Centro De Estudios Y Desarrollo Social Apurimac,Apurimac,Apurimac,Abancay,género / producción
652,Centro De Estudios Y Prevencion De Desastres,Lima,Lima,San Isidro,agropecuario / ambiente / ciencia y tecnología / educación / género / gobernabilidad / inclusión social / salud / vivienda y saneamiento
653,Centro De Estudios Y Promocion Comunal Del Oriente,San Martin,San Martin,Tarapoto,agropecuario / educación / producción
654,Centro De Estudios Y Promocion Del Desarrollo,Lima,Lima,Jesus Maria,ambiente / educación / género / justicia
655,Centro De Estudios Y Promocion Del Desarrollo Ciudadano-Desco Ciudadano,Lima,Lima,Lima,educación / gobernabilidad / inclusión social / justicia
656,Centro De Estudios Y Promocion Del Desarrollo Del Sur Descosur,Arequipa,Arequipa,Arequipa,género
657,"Centro De Estudios, Desarrollo Y Accion Social (Cedas)",Cajamarca,Cajamarca,Cajamarca,agropecuario / inclusión social
658,Centro De Fomento Y Desarrollo Social,Ancash,Ancash,Nuevo Chimbote,agropecuario / economía / educación / género / gobernabilidad / trabajo
659,Centro De Formacion Campesina De La Prelatura De Sicuani,Cusco,Cusco,Espinar,agropecuario / ambiente / ciencia y tecnología / género / gobernabilidad / vivienda y saneamiento
660,Centro De Formacion Y Desarrollo De La Familia,La Libertad,La Libertad,El Porvenir,educación / género
661,Centro De Formacion Y Produccion Arariwa,Cusco,Cusco,Urubamba,educación / producción
662,Centro De Informacion Y Educacion Para La Prevencion Del Abuso De Drogas,Lima,Lima,Miraflores,salud
663,Centro De Innovacion Tecnologica Tropical,San Martin,San Martin,Juanjui,ambiente
664,Centro De Investigacion Cientifica Y Tecnologica Para La Cooperacion Y Desarrollo,Lima,Lima,Miraflores,género / gobernabilidad
665,Centro De Investigacion Comunal Y Agropecuaria Del Peru,Lima,Lima,Los Olivos,agropecuario / educación
666,Centro De Investigacion Conocimiento Y Desarrollo,Lima,Lima,Magdalena Del Mar,educación / salud
667,Centro De Investigacion De Analisis Y Desarrollo,Puno,Puno,Puno,agropecuario / ambiente / ciencia y tecnología / educación / gobernabilidad / producción / vivienda y saneamiento
668,Centro De Investigacion De Recursos Naturales Y Medio Ambiente,Puno,Puno,Puno,agropecuario / ambiente / producción
669,Centro De Investigacion Desarrollo Y Becas Peru,La Libertad,La Libertad,Trujillo,ambiente / educación / género / salud
670,Centro De Investigacion Desarrollo Y Capacitacion Social Andina - Peru,Puno,Puno,Puno,ambiente / inclusión social
671,Centro De Investigacion E Innovacion En Ciencia Y Tecnologia Para El Desarrollo Inclusivo,Callao,Callao,La Perla,educación / transportes y comunicaciones
672,Centro De Investigacion Integral De Desarrollo De Las Comunidades Campesinas Y Nativas Del Peru - Sol,Ayacucho,Ayacucho,Ayacucho,inclusión social
673,Centro De Investigacion Para El Desarrollo Intercultural Amazonico Carmen Binder - Cidiacabi,Ucayali,Ucayali,Calleria,ambiente / educación / salud
674,"Centro De Investigacion Para El Desarrollo Socio Economico ""San Camilo""",Huanuco,Huanuco,Huanuco,agropecuario / producción
675,Centro De Investigacion Para El Desarrollo Sostenible Del Peru,Piura,Piura,Castilla,agropecuario / ambiente
676,Centro De Investigacion Para El Desarrollo Y Defensa Del Medio Ambiente,Piura,Piura,Piura,agropecuario
677,Centro De Investigacion Para La Biodiversidad Medioambiente Y El Desarrollo Agroindustrial Sostenible,San Martin,San Martin,Tarapoto,agropecuario / ambiente / producción
678,Centro De Investigacion Social Y Proyeccion De Ayuda Para El Desarrollo Del Peru - Cisprodep Association,Lambayeque,Lambayeque,Chongoyape,ambiente / educación / género / salud
679,"Centro De Investigacion Y Aplicacion De La Educacion Intercultural, Bilingue Y Ecologica Saywa",Apurimac,Apurimac,Andahuaylas,educación
680,Centro De Investigacion Y Aplicacion En El Desarrollo Economico Y Social,La Libertad,La Libertad,Huanchaco,educación / vivienda y saneamiento
681,"Centro De Investigacion Y Apoyo Para El Desarrollo Comunitario ""Alexander Von Humboldt""",Huanuco,Huanuco,Huanuco,agropecuario / salud
682,Centro De Investigacion Y Capacitacion Campesina,Apurimac,Apurimac,Abancay,agropecuario / ambiente / educación / inclusión social / producción / trabajo
683,Centro De Investigacion Y Desarrollo,Lima,Lima,Comas,agropecuario / género / producción
684,Centro De Investigacion Y Desarrollo Antonio Raimondi,Lambayeque,Lambayeque,Pimentel,agropecuario / ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad / trabajo
685,Centro De Investigacion Y Desarrollo Ayllu,Ica,Ica,La Tinguiña,ambiente / educación / energía/extractiva / género
686,Centro De Investigacion Y Desarrollo Educativo Ñari Walac,Piura,Piura,Castilla,agropecuario / ciencia y tecnología / economía / educación / género / trabajo
687,Centro De Investigacion Y Desarrollo Integral De La Comunidad,Huancavelica,Huancavelica,Ascension,agropecuario / ambiente / vivienda y saneamiento
688,Centro De Investigacion Y Desarrollo Integral Sostenible Urbano Y Rural Peru,Puno,Puno,Puno,ambiente / educación / salud
689,Centro De Investigacion Y Desarrollo La Llave De La Ciencia 1 - Cidellci,Lima,Lima,Lima,educación / género / producción
690,Centro De Investigacion Y Desarrollo Para La Gestion Del Riesgo Y Medio Ambiente,La Libertad,La Libertad,Trujillo,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad
691,Centro De Investigacion Y Emprendimientos Para El Desarrollo Integral La Libertad,La Libertad,La Libertad,Trujillo,educación / género / inclusión social
692,Centro De Investigacion Y Manejo Agroecologico Para El Desarrollo,Piura,Piura,Catacaos,agropecuario / ambiente
693,Centro De Investigacion Y Produccion Del Peru,Ancash,Ancash,Huaraz,ambiente / género / trabajo / vivienda y saneamiento
694,Centro De Investigacion Y Promocion De La Mujer Y El Niño,Piura,Piura,Castilla,ambiente / producción
695,Centro De Investigacion Y Promocion Del Campesinado,Piura,Piura,Castilla,agropecuario / ambiente / economía / educación / género / gobernabilidad / producción
696,Centro De Investigacion Y Promocion Del Desarrollo Andino,Cajamarca,Cajamarca,Cajabamba,género
697,Centro De Investigacion Y Promocion Del Desarrollo Sostenible,Lambayeque,Lambayeque,Chiclayo,educación / género
698,Centro De Investigacion Y Promocion Economica,Callao,Callao,Bellavista,producción
699,Centro De Investigacion Y Promocion Educacional Rural Y Urbana,Lambayeque,Lambayeque,Chiclayo,ambiente / educación / salud
700,"Centro De Investigacion Y Promocion Para El Desarrollo ""Futuro En Accion""",La Libertad,La Libertad,Trujillo,gobernabilidad
701,Centro De Investigacion Y Promocion Popular - Cendipp,Lima,Lima,Pueblo Libre,ambiente / educación / producción / salud / vivienda y saneamiento
702,Centro De Investigacion Y Promocion Social (Cips) Sara Lafosse,La Libertad,La Libertad,Trujillo,agropecuario / educación / salud / vivienda y saneamiento
703,Centro De Investigacion Y Tecnologia Para El Desarrollo,La Libertad,La Libertad,Trujillo,ambiente / educación
704,Centro De Investigacion Y Transferencia De Tecnologias - Peru,Tacna,Tacna,Alto De La Alianza,género
705,"Centro De Investigacion, Capacitacion, Asesoria Y Promocion",Lambayeque,Lambayeque,Chiclayo,agropecuario / ambiente / ciencia y tecnología / educación / género / gobernabilidad / inclusión social
706,"Centro De Investigacion, Documentacion Y Asesoria Poblacional",Lima,Lima,Jesus Maria,género / gobernabilidad
707,"Centro De Investigacion, Documentacion, Educacion, Asesoria Y Servicios",Piura,Piura,Piura,ambiente / ciencia y tecnología / género / gobernabilidad / inclusión social / producción / salud / trabajo
708,"Centro De Investigacion, Educacion Y Desarrollo",Lima,Lima,Lince,ambiente / educación
709,"Centro De Investigacion, Estudios Y Promocion Del Desarrollo - Minka",La Libertad,La Libertad,Trujillo,agropecuario / ambiente / producción / trabajo
710,"Centro De Investigacion, Evaluacion Y Desarrollo",Lima,Lima,Jesus Maria,agropecuario / ambiente / educación / género / gobernabilidad / inclusión social / justicia / salud / seguridad / trabajo / vivienda y saneamiento
711,"Centro De Investigacion, Promocion Y Desarrollo Andino Chavin",Ancash,Ancash,Huaraz,género
712,Centro De Investigaciones Sociales Y Tecnologicas,Lima,Lima,Miraflores,educación / producción
713,"Centro De Investigaciones Tecnologicas, Biomedicas Y Medioambientales",Callao,Callao,Bellavista,ciencia y tecnología
714,Centro De La Familia Para El Desarrollo Humano Vidagracia,La Libertad,La Libertad,Victor Larco Herrera,educación / género / salud
715,Centro De La Mujer Peruana Flora Tristan,Lima,Lima,Lima,educación / género / justicia / producción / salud
716,Centro De Medicina Fisica Y De Rehabilitacion,Lima,Lima,San Juan De Miraflores,salud
717,Centro De Promocion Cultural Trujillo,La Libertad,La Libertad,Trujillo,comercio y turismo / educación / salud
718,Centro De Promocion De Derechos De La Niñez Y Adolescencia,Ayacucho,Ayacucho,Ayacucho,género
719,Centro De Promocion De Educacion Y Desarrollo Sociedad E Identidad,Lambayeque,Lambayeque,Monsefu,educación / género / gobernabilidad / inclusión social / salud
720,Centro De Promocion De La Equidad Maria Elena Moyano,Lima,Lima,Surquillo,género
721,Centro De Promocion De La Mujer,Junin,Junin,El Tambo,agropecuario / gobernabilidad
722,Centro De Promocion De La Mujer Del Norte,La Libertad,La Libertad,Trujillo,educación / género
723,Centro De Promocion De La Mujer Del Pueblo,Lima,Lima,Villa El Salvador,género
724,Centro De Promocion De La Mujer Micaela Bastidas,La Libertad,La Libertad,Trujillo,agropecuario / ciencia y tecnología / educación / género / gobernabilidad / inclusión social / justicia / salud
725,"Centro De Promocion De Los Derechos Del Niño, Adolescente Y Mujer",Cajamarca,Cajamarca,Jaen,educación / género / justicia
726,Centro De Promocion Del Desarrollo Autosostenido - Peru,Puno,Puno,Puno,agropecuario / género / gobernabilidad
727,Centro De Promocion Del Desarrollo Y La Educacion,Lima,Lima,Huaral,educación / producción
728,Centro De Promocion Social Y Desarrollo Del Norte,La Libertad,La Libertad,Trujillo,agropecuario / educación / género / gobernabilidad / producción / salud / trabajo / vivienda y saneamiento
729,Centro De Promocion Urbana Y Rural,Puno,Puno,Juliaca,agropecuario / inclusión social
730,Centro De Promocion Y Desarrollo Andino Minga,Piura,Piura,Piura,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad / inclusión social / trabajo
731,Centro De Promocion Y Desarrollo Poblacional,Ayacucho,Ayacucho,Ayacucho,economía / educación / género / gobernabilidad / justicia / salud / trabajo
732,Centro De Promocion Y Desarrollo Rural -  Apurimac,Apurimac,Apurimac,Abancay,educación / salud / trabajo
733,Centro De Promocion Y Desarrollo Social,La Libertad,La Libertad,Trujillo,género
734,"Centro De Promocion, Desarrollo Humano Y Defensa De Medio Ambiente",Huanuco,Huanuco,Amarilis,ambiente
735,"Centro De Promocion, Integracion Y Desarrollo Rural Urbano De Ayacucho",Ayacucho,Ayacucho,Andrés Avelino Cáceres Dorregaray,educación / trabajo
736,Centro De Rehabilitacion De Toxicomanos Y De Investigacion De Medicinas Tradicionales,San Martin,San Martin,Tarapoto,ambiente / educación / salud
737,Centro De Reintegracion Con Amor Y Paciencia,La Libertad,La Libertad,El Porvenir,educación / género
738,"Centro De Servicios Para La Capacitacion Laboral Y El Desarrollo, Caplab",Lima,Lima,Santiago De Surco,educación
739,Centro De Textiles Tradicionales Del Cusco,Cusco,Cusco,Cusco,producción
740,Centro Ecumenico De Promocion Y Accion Social Centro,Junin,Junin,Huancayo,ambiente / gobernabilidad / producción / salud / vivienda y saneamiento
741,Centro Ecumenico De Promocion Y Accion Social Norte,La Libertad,La Libertad,Trujillo,ambiente / género / gobernabilidad
742,Centro Gestion Y Desarrollo,Lambayeque,Lambayeque,Picsi,economía / género
743,Centro Global Para El Desarrollo Y La Democracia,Lima,Lima,Magdalena Del Mar,economía / educación
744,Centro Iberoamericano Especializado En La Formacion Ambiental,Junin,Junin,El Tambo,ambiente
745,Centro Integral De Desarrollo Y Medio Ambiente Nor-Sur Peru,Piura,Piura,Bellavista,agropecuario / género / salud
746,Centro Internacional De Desarrollo Humano Y Gestion Local,Arequipa,Arequipa,Yanahuara,economía / género
747,Centro Internacional De Estudios Interdisciplinarios,Junin,Junin,El Tambo,educación
748,Centro Latinoamericano De Ayuda Social,Lima,Lima,San Borja,educación / género / salud
749,Centro Latinoamericano De Investigacion Y Promocion Para El Desarrollo Social En Paz Y Bien,Puno,Puno,Puno,inclusión social / justicia / trabajo
750,Centro Leonor Tarifa Del Peru,La Libertad,La Libertad,Trujillo,educación / género
751,Centro Medico De Salud Sur Peruano,Tacna,Tacna,Tacna,educación / salud
752,Centro Para El Desarrollo De Comunidades Y Pueblos,Cajamarca,Cajamarca,Cajamarca,ambiente / educación
753,Centro Para El Desarrollo De Los Pueblos Ayllu,Cusco,Cusco,Cusco,agropecuario / ambiente / ciencia y tecnología / género / gobernabilidad / producción / trabajo
754,Centro Para El Desarrollo Del Indigena Amazonico,Callao,Callao,La Perla,gobernabilidad / trabajo
755,Centro Para El Desarrollo Del Niño Y El Adolescente,Cusco,Cusco,Santiago,salud
756,Centro Para El Desarrollo Integral Andino Y Amazonico,Ayacucho,Ayacucho,Andrés Avelino Cáceres Dorregaray,género
757,Centro Para El Desarrollo Social Y Empresarial Forward Hand - O.N.G. Foha,Junin,Junin,El Tambo,ambiente / género / inclusión social / producción / salud / trabajo / vivienda y saneamiento
758,Centro Para La Cooperacion A La Pequeña Y Micro Empresa,Apurimac,Apurimac,Abancay,producción
759,Centro Peruano De Estudios Sociales,Lima,Lima,Jesus Maria,educación / justicia / producción / salud
760,Centro Promocion Cristiano Para El Desarrollo Social Y Empresarial Ong,Arequipa,Arequipa,Yanahuara,educación / gobernabilidad
761,Centro Regional De Tecnologia Apropiada (Creta),Loreto,Loreto,Punchana,agropecuario / ambiente / ciencia y tecnología / educación
762,Centro Shaday Apurimac,Apurimac,Apurimac,Chalhuanca,educación / salud
763,Centro Terapeutico Tridimensional En La Cura De Adicciones,La Libertad,La Libertad,Trujillo,educación
764,Centros Empresariales De Organizaciones Sociales,La Libertad,La Libertad,Trujillo,agropecuario
765,Cervi-Cusco,Cusco,Cusco,San Jeronimo,salud
766,Chachapoyas Por La Vida Y La Cultura,Amazonas,Amazonas,Chachapoyas,ambiente
767,Chacra Project,Lima,Lima,San Isidro,ambiente
768,"Chance Peru, Asociacion Para El Desarrollo Restaurando Vidas",Huanuco,Huanuco,Huanuco,educación / trabajo
769,Chirapaq Centro De Culturas Indigenas Del Peru,Lima,Lima,Jesus Maria,género
770,Choice Humanitarian,Piura,Piura,Castilla,educación / género / salud
771,Ciencia Y Tecnologia Ancestral Y Actual Del Peru,Lima,Lima,Santiago De Surco,ambiente / educación
772,Circoluzion,Lima,Lima,San Martin De Porres,ambiente / educación
773,Circulo Para El Desarrollo Social Peru,La Libertad,La Libertad,Moche,educación / salud
774,Circulo Solidario,La Libertad,La Libertad,Trujillo,agropecuario / educación / género / gobernabilidad / inclusión social / justicia
775,Ciudad Saludable,Lima,Lima,Miraflores,ambiente
776,Colectivo Integral De Desarrollo,Lima,Lima,La Molina,economía / género / gobernabilidad / producción / trabajo
777,Comercio Alternativo De Productos No Tradicionales Y Desarrollo En America Latina - Peru,Lima,Lima,Villa El Salvador,economía / producción
778,Cometa - Compromiso Desde La Infancia Y Adolescencia,Lima,Lima,Lima,educación / inclusión social
779,Comision Andina De Juristas,Lima,Lima,San Isidro,género / gobernabilidad / justicia
780,Comision De Derechos Humanos,Lima,Lima,Jesus Maria,educación / género / gobernabilidad / inclusión social / justicia
781,Comision De Derechos Humanos De Ica,Ica,Ica,Ica,justicia
