N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
115,Asociacion Civil Cordillera Blanca,Ancash,Ancash,Huaraz,género / gobernabilidad
116,"Asociacion Civil de Defensa de Los Derechos Humanos de Los Pueblos Americanos ""Addha""",Lima,Lima,Lima,género
117,Asociacion Civil de Desarrollo Los Caritativos,La Libertad,La Libertad,Chepen,género
118,Asociacion Civil de Personas Con Discapacidad Corazones Unidos Con Esperanza Del Bajo Piura,Piura,Piura,Vice,educación
119,Asociacion Civil Defensores del Ambiente Organizacion No Gubernamental De Desarrollo,Huancavelica,Huancavelica,Huancavelica,ambiente / comercio y turismo
120,Asociacion Civil Divino Niño Jesus,Lima,Lima,San Borja,ciencia y tecnología / educación / género / gobernabilidad / inclusión social / salud
121,Asociacion Civil Ecosistema & Desarrollo Sostenible,Lima,Lima,La Molina,ambiente / ciencia y tecnología
122,Asociacion Civil Educadores de Salud para La Comunidad,Lima,Lima,Carabayllo,género
123,Asociacion Civil Esencias,Lima,Lima,Rimac,educación / justicia
124,Asociacion Civil Forjando Talentos Andres Bello,Lima,Lima,San Juan De Miraflores,educación / género
125,Asociacion Civil Fundacion Contra El Hambre y La Pobreza en El Callao,Callao,Callao,Callao,género / salud
126,Asociacion Civil Hijos de La Esperanza,La Libertad,La Libertad,La Esperanza,educación / género
127,Asociacion Civil Ilo Ongd,Moquegua,Moquegua,Pacocha,género / salud
128,Asociacion Civil Impacta Salud y Educacion,Lima,Lima,Barranco,educación / salud
129,Asociación Civil Instituto Peruano de la Ciencia y la Cultura,Callao,Callao,Callao,ciencia y tecnología / educación
130,"Asociacion Civil Internacional ""Emanuel"" de Las Asambleas de Dios",Junin,Junin,Satipo,educación
131,Asociacion Civil Inti Runakunaq Wasin,Cusco,Cusco,San Jeronimo,género
132,Asociacion Civil Kizuna Amazonica,Ucayali,Ucayali,Calleria,ambiente / inclusión social
133,Asociacion Civil Labor,Arequipa,Arequipa,Arequipa,agropecuario / ambiente / producción / salud
134,Asociacion Civil Liderar Y Servir,La Libertad,La Libertad,Trujillo,género
135,Asociacion Civil Living Water International Peru,Cajamarca,Cajamarca,Cajamarca,educación / género
136,Asociacion Civil Llamkarisun,Huancavelica,Huancavelica,Huancavelica,ambiente / inclusión social / justicia
137,Asociacion Civil Megam Peru,Lima,Lima,Miraflores,ciencia y tecnología
138,Asociacion Civil Mi Amazonia,Loreto,Loreto,Iquitos,salud
139,Asociacion Civil Neoandina,Lima,Lima,Santiago De Surco,ambiente / género
140,Asociacion Civil Ong Camina Conmigo,Cajamarca,Cajamarca,Cajamarca,economía / educación / justicia
141,Asociacion Civil Organismo No Gubernamental Comunidad Participativa Trabajo Y Realidad,Huanuco,Huanuco,Rupa-Rupa,agropecuario / gobernabilidad / inclusión social / vivienda y saneamiento
142,Asociacion Civil Organismo No Gubernamental De Desarrollo - Apoyo A Los Niños Desamparados Y Adulto Mayor,Lambayeque,Lambayeque,Pimentel,educación / género
143,Asociacion Civil Organismo No Gubernamental De Desarrollo - Proyeccion Social Para El Desarrollo Integral,Lambayeque,Lambayeque,La Victoria,salud
144,Asociacion Civil Organismo No Gubernamental De Desarrollo Amigos De La Selva,Loreto,Loreto,Iquitos,ambiente / educación
145,Asociacion Civil Organismo No Gubernamental De Desarrollo Asistencia Social Integral Para Mejoras De Condicion De Vida,Lambayeque,Lambayeque,Pimentel,educación / género
146,Asociacion Civil Organismo No Gubernamental De Desarrollo En Apoyo Integral De Las Personas - Salvando Vidas,Lambayeque,Lambayeque,Jose Leonardo Ortiz,género
147,Asociacion Civil Organismo No Gubernamental De Desarrollo Oasis De Esperanza,Cajamarca,Cajamarca,Chota,ambiente / educación
148,"Asociacion Civil Organismo No Gubernamental En Desarrollo, El Buen Sembrador",La Libertad,La Libertad,Victor Larco Herrera,ambiente / educación
149,Asociacion Civil Organismo No Gubernamental Ong - Luminares en El Mundo,Lambayeque,Lambayeque,Pucala,educación / salud
150,"Asociacion Civil Organizacion No Gubernamental De Cooperacion en Alimentacion, Educacion Y Medio Ambiente",Ucayali,Ucayali,Calleria,género
151,"Asociacion Civil Pachamama Raymi, Aprender de Los Mejores",Cusco,Cusco,Cusco,ambiente / educación / género / gobernabilidad
152,Asociacion Civil Para El Desarrollo Integral Nueva Vida,La Libertad,La Libertad,Trujillo,inclusión social
153,Asociacion Civil Para El Desarrollo Y Asistencia Humanitaria Amor En Accion,La Libertad,La Libertad,Trujillo,educación / género
154,Asociacion Civil Para El Progreso Y Desarrollo,La Libertad,La Libertad,Chepen,salud
155,Asociacion Civil Para La Gestion Del Agua En Cuencas,Lima,Lima,Jesus Maria,salud
156,Asociacion Civil Para La Investigacion Y El Desarrollo Forestal - Adefor,Cajamarca,Cajamarca,Cajamarca,ambiente
